COUNTY_NAME,both,onlyOSHPD,Closed,Open,Suspense,Under_Construction,size
ALAMEDA,307,5,20,287,0,5,312
AMADOR,5,0,0,5,0,0,5
BUTTE,49,0,3,46,0,0,49
CALAVERAS,4,0,0,4,0,0,4
COLUSA,3,0,0,3,0,0,3
CONTRA COSTA,134,3,12,122,0,3,137
DEL NORTE,5,0,0,5,0,0,5
EL DORADO,20,0,1,19,0,0,20
FRESNO,111,5,2,109,0,5,116
GLENN,3,0,0,3,0,0,3
HUMBOLDT,34,0,1,33,0,0,34
IMPERIAL,23,1,0,23,0,1,24
INYO,3,1,0,3,0,1,4
KERN,128,4,6,122,0,4,132
KINGS,21,0,1,20,0,0,21
LAKE,14,0,0,14,0,0,14
LASSEN,9,0,1,8,0,0,9
LOS ANGELES,2330,22,59,2272,0,21,2352
MADERA,15,0,0,15,0,0,15
MARIN,48,0,3,45,0,0,48
MARIPOSA,5,1,0,5,0,1,6
MENDOCINO,26,0,0,26,0,0,26
MERCED,36,0,1,35,0,0,36
MODOC,1,1,0,1,0,1,2
MONO,2,0,0,2,0,0,2
MONTEREY,65,0,3,62,0,0,65
NAPA,25,0,1,24,0,0,25
NEVADA,21,0,4,17,0,0,21
ORANGE,361,7,26,334,1,7,368
PLACER,38,2,2,36,0,2,40
PLUMAS,7,0,0,7,0,0,7
RIVERSIDE,248,19,15,233,0,19,267
SACRAMENTO,167,6,10,157,0,6,173
SAN BENITO,6,0,0,6,0,0,6
SAN BERNARDINO,337,16,10,327,0,16,353
SAN DIEGO,405,12,22,383,0,12,417
SAN FRANCISCO,122,1,7,115,0,1,123
SAN JOAQUIN,73,3,1,72,0,3,76
SAN LUIS OBISPO,71,0,8,63,0,0,71
SAN MATEO,99,1,5,94,0,1,100
SANTA BARBARA,62,4,3,59,0,4,66
SANTA CLARA,223,1,14,209,0,1,224
SANTA CRUZ,30,0,3,27,0,0,30
SHASTA,51,3,7,44,0,3,54
SIERRA,3,0,1,2,0,0,3
SISKIYOU,12,0,0,12,0,0,12
SOLANO,52,1,3,49,0,1,53
SONOMA,94,2,5,89,0,2,96
STANISLAUS,76,3,4,72,0,3,79
SUTTER,22,1,1,21,0,1,23
TEHAMA,8,0,0,8,0,0,8
TRINITY,2,0,0,2,0,0,2
TULARE,45,3,0,45,0,3,48
TUOLUMNE,10,0,0,10,0,0,10
VENTURA,189,0,14,175,0,0,189
YOLO,20,0,1,19,0,0,20
YUBA,11,0,0,11,0,0,11
